Fresh Review Data
established 2 0.000290065
how 5 0.000725163
going 6 0.000870196
thats 10 0.00145033
will 8 0.00116026
personal 1 0.000145033
enjoys 1 0.000145033
be 24 0.00348078
busy 1 0.000145033
their 13 0.00188542
anyone 3 0.000435098
toy 4 0.000580131
heading 1 0.000145033
ever 4 0.000580131
is 114 0.0165337
not 21 0.00304569
dystopic 1 0.000145033
thanks 1 0.000145033
wouldnt 1 0.000145033
does 4 0.000580131
behind 5 0.000725163
well 7 0.00101523
by 45 0.00652647
andy 1 0.000145033
hes 10 0.00145033
louis 6 0.000870196
weirs 1 0.000145033
scienceheavy 1 0.000145033
saga 2 0.000290065
teeth 1 0.000145033
2011 1 0.000145033
seeming 1 0.000145033
sometimes 6 0.000870196
curtain 1 0.000145033
primary 4 0.000580131
us 7 0.00101523
boredom 1 0.000145033
its 40 0.00580131
smartly 1 0.000145033
illegal 2 0.000290065
drugged 1 0.000145033
prometheus 1 0.000145033
streamlined 1 0.000145033
kicking 2 0.000290065
scripter 1 0.000145033
between 3 0.000435098
almost 2 0.000290065
man 12 0.00174039
washed 1 0.000145033
loder 2 0.000290065
drew 1 0.000145033
finds 4 0.000580131
bring 2 0.000290065
particle 1 0.000145033
own 4 0.000580131
shame 3 0.000435098
role 6 0.000870196
last 3 0.000435098
spin 1 0.000145033
drain 1 0.000145033
hour 1 0.000145033
scary 1 0.000145033
codirected 1 0.000145033
kristen 1 0.000145033
over 7 0.00101523
mainly 1 0.000145033
storm 1 0.000145033
tall 1 0.000145033
weird 1 0.000145033
on 37 0.00536621
pop 1 0.000145033
enthusiasm 1 0.000145033
or 17 0.00246555
swarms 1 0.000145033
presence 2 0.000290065
lack 1 0.000145033
cinema 2 0.000290065
vacant 1 0.000145033
ares 1 0.000145033
summon 1 0.000145033
stories 3 0.000435098
deserves 1 0.000145033
3 1 0.000145033
films 12 0.00174039
crew 1 0.000145033
bleeds 2 0.000290065
facility 1 0.000145033
suburbsshes 1 0.000145033
in 129 0.0187092
blizzard 1 0.000145033
legoloving 1 0.000145033
frozen 2 0.000290065
dust 2 0.000290065
opportunity 2 0.000290065
reinforced 1 0.000145033
contained 1 0.000145033
than 11 0.00159536
reminiscent 1 0.000145033
forward 1 0.000145033
inhospitable 1 0.000145033
planet 1 0.000145033
seatfillers 1 0.000145033
team 4 0.000580131
colorfully 1 0.000145033
alien 1 0.000145033
1979 1 0.000145033
childrens 2 0.000290065
leading 1 0.000145033
filled 4 0.000580131
after 8 0.00116026
an 32 0.00464104
segment 2 0.000290065
oh 1 0.000145033
emergency 1 0.000145033
pieces 1 0.000145033
city 4 0.000580131
morphs 1 0.000145033
parents 4 0.000580131
evacuation 1 0.000145033
art 2 0.000290065
warner 1 0.000145033
beaten 3 0.000435098
administrator 1 0.000145033
cinematic 3 0.000435098
strands 1 0.000145033
directed 2 0.000290065
damons 1 0.000145033
moxie 1 0.000145033
prey 1 0.000145033
violent 2 0.000290065
strangely 1 0.000145033
robberies 1 0.000145033
disgust 4 0.000580131
storyline 1 0.000145033
tunes 2 0.000290065
wait 1 0.000145033
mark 1 0.000145033
number 2 0.000290065
pretty 5 0.000725163
sport 1 0.000145033
watney 4 0.000580131
them 8 0.00116026
bathroom 1 0.000145033
has 22 0.00319072
heart 3 0.000435098
buddy 1 0.000145033
initial 1 0.000145033
without 1 0.000145033
justin 2 0.000290065
wandering 1 0.000145033
period 2 0.000290065
every 4 0.000580131
intricate 1 0.000145033
glover 1 0.000145033
up 14 0.00203046
student 2 0.000290065
malefactors 1 0.000145033
silver 1 0.000145033
hab 1 0.000145033
point 2 0.000290065
web 1 0.000145033
shuttling 1 0.000145033
fearlessly 1 0.000145033
collection 1 0.000145033
outpost 1 0.000145033
cola 1 0.000145033
special 2 0.000290065
dc 1 0.000145033
plays 7 0.00101523
like 15 0.00217549
disastrous 1 0.000145033
sky 1 0.000145033
crazy 3 0.000435098
flesh 1 0.000145033
any 4 0.000580131
are 23 0.00333575
etc 2 0.000290065
pans 1 0.000145033
climax 1 0.000145033
scotts 1 0.000145033
war 1 0.000145033
moody 1 0.000145033
romanticize 1 0.000145033
classics 1 0.000145033
blade 1 0.000145033
freedom 2 0.000290065
crews 1 0.000145033
runner 1 0.000145033
terrified 1 0.000145033
differently 1 0.000145033
joe 4 0.000580131
amount 1 0.000145033
spunk 1 0.000145033
touchstones 2 0.000290065
actor 2 0.000290065
store 1 0.000145033
rough 1 0.000145033
directly 1 0.000145033
im 1 0.000145033
noise 1 0.000145033
die 1 0.000145033
views 1 0.000145033
artificial 3 0.000435098
wiig 1 0.000145033
love 5 0.000725163
patrick 1 0.000145033
still 4 0.000580131
confidence 2 0.000290065
women 6 0.000870196
culture 1 0.000145033
framing 1 0.000145033
sort 1 0.000145033
adventure 2 0.000290065
soundtrack 1 0.000145033
here 3 0.000435098
intellect 1 0.000145033
terror 1 0.000145033
references 3 0.000435098
funny 1 0.000145033
cooler 1 0.000145033
bodies 2 0.000290065
works 1 0.000145033
says 3 0.000435098
video 3 0.000435098
afternoons 1 0.000145033
albeit 2 0.000290065
quite 1 0.000145033
taxi 1 0.000145033
we 10 0.00145033
hear 2 0.000290065
chemistry 1 0.000145033
detailed 1 0.000145033
power 2 0.000290065
requires 1 0.000145033
appliances 1 0.000145033
naturally 1 0.000145033
chord 1 0.000145033
liveaction 1 0.000145033
accessories 1 0.000145033
exclaims 1 0.000145033
easy 4 0.000580131
chatterbox 1 0.000145033
specifically 1 0.000145033
bidder 1 0.000145033
castcrew 1 0.000145033
rileys 14 0.00203046
so 11 0.00159536
matched 1 0.000145033
controls 1 0.000145033
fighting 1 0.000145033
afternoon 2 0.000290065
quiet 1 0.000145033
botanist 1 0.000145033
gets 4 0.000580131
survive 1 0.000145033
right 4 0.000580131
manufacturing 1 0.000145033
cuts 1 0.000145033
it 39 0.00565627
copies 1 0.000145033
heads 2 0.000290065
water 3 0.000435098
obsession 1 0.000145033
picking 1 0.000145033
royal 1 0.000145033
walk 2 0.000290065
hydrogen 1 0.000145033
him 5 0.000725163
greenhouseenclosed 1 0.000145033
fear 5 0.000725163
qa 1 0.000145033
missing 2 0.000290065
chazelle 4 0.000580131
sad 2 0.000290065
potato 1 0.000145033
wounded 2 0.000290065
mission 2 0.000290065
our 4 0.000580131
farm 1 0.000145033
musical 6 0.000870196
disappeared 1 0.000145033
melissa 1 0.000145033
populated 2 0.000290065
bong 2 0.000290065
soft 1 0.000145033
waste 1 0.000145033
shuttle 2 0.000290065
packets 1 0.000145033
anything 2 0.000290065
only 6 0.000870196
already 1 0.000145033
cooking 1 0.000145033
april 1 0.000145033
famous 1 0.000145033
way 9 0.00130529
started 1 0.000145033
control 3 0.000435098
masque 1 0.000145033
dungeon 1 0.000145033
eyeballing 1 0.000145033
bringing 2 0.000290065
storytelling 1 0.000145033
optimism 1 0.000145033
recalls 1 0.000145033
reached 1 0.000145033
sleek 2 0.000290065
voice 1 0.000145033
detectives 1 0.000145033
southern 1 0.000145033
few 6 0.000870196
nerditude 1 0.000145033
cowrote 1 0.000145033
candycolored 1 0.000145033
source 1 0.000145033
humor 4 0.000580131
touch 2 0.000290065
shaved 1 0.000145033
happened 1 0.000145033
good 6 0.000870196
characters 11 0.00159536
solo 1 0.000145033
rewritten 1 0.000145033
one 26 0.00377085
discussing 1 0.000145033
facade 1 0.000145033
scraggly 1 0.000145033
calls 1 0.000145033
rich 1 0.000145033
himself 4 0.000580131
physically 1 0.000145033
adrenalin 1 0.000145033
voiced 2 0.000290065
puts 2 0.000290065
piratedamon 1 0.000145033
line 3 0.000435098
fletchers 1 0.000145033
eloquent 1 0.000145033
droll 1 0.000145033
key 2 0.000290065
based 2 0.000290065
straightforward 1 0.000145033
movies 15 0.00217549
exuberance 1 0.000145033
technology 1 0.000145033
minds 1 0.000145033
camera 1 0.000145033
highly 1 0.000145033
cast 3 0.000435098
away 8 0.00116026
because 4 0.000580131
snappin 1 0.000145033
hard 5 0.000725163
face 2 0.000290065
job 3 0.000435098
imagine 2 0.000290065
valuable 1 0.000145033
often 1 0.000145033
browbeats 1 0.000145033
animator 1 0.000145033
part 4 0.000580131
achieve 1 0.000145033
song 1 0.000145033
either 1 0.000145033
fiercely 1 0.000145033
another 2 0.000290065
boyish 1 0.000145033
about 15 0.00217549
fortune 1 0.000145033
street 1 0.000145033
voices 1 0.000145033
brainy 1 0.000145033
rest 1 0.000145033
backbreaking 1 0.000145033
canada 1 0.000145033
film 30 0.00435098
washington 1 0.000145033
protege 1 0.000145033
though 4 0.000580131
restless 2 0.000290065
remake 1 0.000145033
sports 1 0.000145033
watneys 1 0.000145033
excitement 1 0.000145033
suffers 3 0.000435098
tshirt 1 0.000145033
slightly 1 0.000145033
letsworktheproblem 1 0.000145033
comparison 2 0.000290065
rivetingly 1 0.000145033
goingson 1 0.000145033
february 1 0.000145033
fade 1 0.000145033
via 1 0.000145033
jeff 1 0.000145033
narcissist 1 0.000145033
actions 2 0.000290065
beady 1 0.000145033
danielss 1 0.000145033
hint 1 0.000145033
nasa 1 0.000145033
at 32 0.00464104
lego 15 0.00217549
fifteen 1 0.000145033
bottom 2 0.000290065
within 1 0.000145033
airy 1 0.000145033
odyssey 1 0.000145033
taking 2 0.000290065
heartbreakingly 1 0.000145033
stylized 1 0.000145033
insubordination 1 0.000145033
francisco 1 0.000145033
patron 1 0.000145033
weapon 1 0.000145033
wont 1 0.000145033
benedict 1 0.000145033
hackercat 1 0.000145033
first 8 0.00116026
weighing 1 0.000145033
secret 1 0.000145033
improper 1 0.000145033
whenever 1 0.000145033
galaxy 1 0.000145033
logic 1 0.000145033
costs 1 0.000145033
hiro 1 0.000145033
other 9 0.00130529
publicrelations 1 0.000145033
meantime 1 0.000145033
changing 1 0.000145033
disaster 1 0.000145033
greatest 2 0.000290065
30 1 0.000145033
hitech 2 0.000290065
desperate 5 0.000725163
then 6 0.000870196
skit 1 0.000145033
villain 1 0.000145033
discordant 1 0.000145033
heres 1 0.000145033
adventures 1 0.000145033
rivals 1 0.000145033
armageddonish 1 0.000145033
woke 1 0.000145033
deep 1 0.000145033
oscar 3 0.000435098
perform 1 0.000145033
content 3 0.000435098
comic 5 0.000725163
broccoli 1 0.000145033
grandparents 2 0.000290065
brothers 2 0.000290065
quoting 1 0.000145033
masters 1 0.000145033
register 1 0.000145033
stacie 1 0.000145033
genre 2 0.000290065
loneliness 2 0.000290065
grad 1 0.000145033
reinvented 1 0.000145033
when 18 0.00261059
klutzy 1 0.000145033
confines 1 0.000145033
trouble 1 0.000145033
pass 1 0.000145033
scripture 1 0.000145033
middle 2 0.000290065
engineer 2 0.000290065
astrophysicist 1 0.000145033
pg 1 0.000145033
stance 1 0.000145033
donald 1 0.000145033
important 2 0.000290065
slips 1 0.000145033
become 2 0.000290065
main 1 0.000145033
these 4 0.000580131
drumming 3 0.000435098
traits 1 0.000145033
spilled 1 0.000145033
sound 1 0.000145033
doubles 1 0.000145033
example 1 0.000145033
prisoner 1 0.000145033
coffee 2 0.000290065
oppressed 1 0.000145033
for 47 0.00681653
smith 1 0.000145033
offkey 1 0.000145033
distracting 1 0.000145033
out 17 0.00246555
extraordinary 1 0.000145033
just 11 0.00159536
colony 1 0.000145033
happening 2 0.000290065
found 2 0.000290065
brief 2 0.000290065
fully 2 0.000290065
rebel 1 0.000145033
picture 4 0.000580131
inflatable 1 0.000145033
enough 3 0.000435098
opposite 1 0.000145033
making 5 0.000725163
snl 1 0.000145033
ferocity 1 0.000145033
phil 1 0.000145033
strikes 1 0.000145033
note 2 0.000290065
cool 2 0.000290065
chinese 1 0.000145033
office 2 0.000290065
even 9 0.00130529
utopian 1 0.000145033
avengers 1 0.000145033
assist 1 0.000145033
jk 2 0.000290065
saluting 1 0.000145033
shock 1 0.000145033
somehow 1 0.000145033
terrific 1 0.000145033
jessica 1 0.000145033
chastains 1 0.000145033
which 10 0.00145033
performances 1 0.000145033
guiltridden 1 0.000145033
corey 1 0.000145033
commander 1 0.000145033
troche 1 0.000145033
grownups 2 0.000290065
prison 1 0.000145033
decides 1 0.000145033
hole 1 0.000145033
shower 1 0.000145033
easter 1 0.000145033
go 7 0.00101523
pixar 6 0.000870196
rogue 1 0.000145033
wondering 1 0.000145033
stable 1 0.000145033
finale 1 0.000145033
movieshot 1 0.000145033
movie 24 0.00348078
damaged 1 0.000145033
triumphing 1 0.000145033
transparently 1 0.000145033
alldisco 1 0.000145033
fails 1 0.000145033
nicely 1 0.000145033
ring 1 0.000145033
playlist 1 0.000145033
nods 2 0.000290065
touching 1 0.000145033
left 4 0.000580131
san 2 0.000290065
able 6 0.000870196
beard 1 0.000145033
departing 1 0.000145033
fury 3 0.000435098
she 6 0.000870196
cohorts 1 0.000145033
slaves 1 0.000145033
upon 1 0.000145033
mind 4 0.000580131
paint 1 0.000145033
twohour 1 0.000145033
racing 2 0.000290065
straight 1 0.000145033
best 15 0.00217549
inc 1 0.000145033
keep 5 0.000725163
adults 5 0.000725163
interested 2 0.000290065
unchained 1 0.000145033
given 4 0.000580131
bold 1 0.000145033
ambitious 2 0.000290065
complex 4 0.000580131
skilled 1 0.000145033
todays 1 0.000145033
hadnt 1 0.000145033
see 5 0.000725163
deeply 2 0.000290065
polar 1 0.000145033
furiosas 1 0.000145033
carpenter 1 0.000145033
layered 3 0.000435098
hugh 1 0.000145033
filmmaker 1 0.000145033
happen 4 0.000580131
galvanizing 1 0.000145033
colors 2 0.000290065
3d 1 0.000145033
children 7 0.00101523
smile 1 0.000145033
steampunk 1 0.000145033
who 38 0.00551124
lesser 1 0.000145033
everything 4 0.000580131
scenes 7 0.00101523
insanity 1 0.000145033
finding 2 0.000290065
sony 1 0.000145033
irony 2 0.000290065
force 1 0.000145033
nemo 2 0.000290065
giamatti 1 0.000145033
 73 0.0105874
firstgraders 2 0.000290065
can 13 0.00188542
expectation 1 0.000145033
vehicles 3 0.000435098
owner 1 0.000145033
whats 2 0.000290065
all 23 0.00333575
phyllis 1 0.000145033
paxtons 1 0.000145033
levels 2 0.000290065
shocking 1 0.000145033
morning 1 0.000145033
sweet 1 0.000145033
eerie 1 0.000145033
need 1 0.000145033
mcqueen 3 0.000435098
academy 2 0.000290065
least 2 0.000290065
award 1 0.000145033
alleviates 1 0.000145033
introduces 1 0.000145033
resonance 1 0.000145033
yellowjacket 2 0.000290065
nomination 1 0.000145033
chris 2 0.000290065
marooned 1 0.000145033
animated 4 0.000580131
done 2 0.000290065
some 14 0.00203046
category 1 0.000145033
bigkid 1 0.000145033
essayed 1 0.000145033
there 5 0.000725163
toptier 1 0.000145033
outcast 1 0.000145033
equally 1 0.000145033
wearing 2 0.000290065
original 4 0.000580131
shifty 1 0.000145033
extension 1 0.000145033
idea 2 0.000290065
preys 1 0.000145033
docter 2 0.000290065
remarks 1 0.000145033
gonna 1 0.000145033
monsters 1 0.000145033
bend 1 0.000145033
immortan 1 0.000145033
del 1 0.000145033
fought 1 0.000145033
fellow 2 0.000290065
feels 5 0.000725163
form 3 0.000435098
carmen 1 0.000145033
getting 2 0.000290065
surely 1 0.000145033
stick 1 0.000145033
wonderful 2 0.000290065
feature 5 0.000725163
chase 4 0.000580131
quest 1 0.000145033
dreams 2 0.000290065
urban 1 0.000145033
bing 2 0.000290065
laying 1 0.000145033
come 5 0.000725163
extreme 1 0.000145033
kaitlyn 1 0.000145033
wears 1 0.000145033
precision 1 0.000145033
opening 1 0.000145033
criminals 1 0.000145033
woods 1 0.000145033
longterm 2 0.000290065
dined 1 0.000145033
sequences 3 0.000435098
girl 3 0.000435098
professionals 1 0.000145033
tactics 1 0.000145033
edgar 1 0.000145033
named 3 0.000435098
those 3 0.000435098
dias 1 0.000145033
should 2 0.000290065
antman 11 0.00159536
consistently 1 0.000145033
biggest 1 0.000145033
riley 5 0.000725163
brimming 1 0.000145033
deserving 1 0.000145033
gain 1 0.000145033
born 1 0.000145033
setting 1 0.000145033
eager 1 0.000145033
minnesota 1 0.000145033
experiences 4 0.000580131
perfect 1 0.000145033
resonates 1 0.000145033
gives 3 0.000435098
years 7 0.00101523
paul 3 0.000435098
world 11 0.00159536
vile 1 0.000145033
schemes 1 0.000145033
hybrid 1 0.000145033
father 1 0.000145033
quips 1 0.000145033
theron 1 0.000145033
realization 1 0.000145033
becoming 1 0.000145033
emotions 4 0.000580131
feeling 2 0.000290065
tour 3 0.000435098
theaters 2 0.000290065
fighters 1 0.000145033
play 2 0.000290065
purposefully 1 0.000145033
head 8 0.00116026
businesswoman 1 0.000145033
three 1 0.000145033
made 3 0.000435098
beginning 2 0.000290065
color 2 0.000290065
accusations 1 0.000145033
relationships 1 0.000145033
where 14 0.00203046
rabbit 1 0.000145033
spending 2 0.000290065
hader 1 0.000145033
stage 1 0.000145033
collaborator 1 0.000145033
bulk 1 0.000145033
itself 4 0.000580131
spark 1 0.000145033
takes 3 0.000435098
once 4 0.000580131
outside 2 0.000290065
child 2 0.000290065
real 5 0.000725163
animal 2 0.000290065
appreciate 1 0.000145033
lead 1 0.000145033
situation 3 0.000435098
courage 1 0.000145033
light 1 0.000145033
throw 1 0.000145033
conversations 1 0.000145033
what 14 0.00203046
narrator 1 0.000145033
america 2 0.000290065
mothers 1 0.000145033
guide 1 0.000145033
joy 4 0.000580131
amy 1 0.000145033
sadness 1 0.000145033
poehler 1 0.000145033
springs 1 0.000145033
perfectly 1 0.000145033
insider 1 0.000145033
voicecast 1 0.000145033
south 2 0.000290065
process 2 0.000290065
raccoon 1 0.000145033
ahead 2 0.000290065
warriors 1 0.000145033
throughout 2 0.000290065
miles 2 0.000290065
whirling 1 0.000145033
nice 2 0.000290065
interwoven 1 0.000145033
wife 2 0.000290065
glowing 1 0.000145033
evil 1 0.000145033
emoticontinkerbell 1 0.000145033
including 3 0.000435098
literally 4 0.000580131
montage 1 0.000145033
memories 3 0.000435098
forever 3 0.000435098
reach 1 0.000145033
lose 1 0.000145033
proved 1 0.000145033
simply 2 0.000290065
experience 2 0.000290065
completely 2 0.000290065
sly 2 0.000290065
if 9 0.00130529
dumped 1 0.000145033
potentially 1 0.000145033
road 3 0.000435098
essential 1 0.000145033
childhood 1 0.000145033
asset 1 0.000145033
cross 1 0.000145033
mayhem 1 0.000145033
meatballs 1 0.000145033
psychological 1 0.000145033
showcase 1 0.000145033
douglas 1 0.000145033
mindgames 1 0.000145033
anger 2 0.000290065
son 3 0.000435098
eloquently 1 0.000145033
lewis 1 0.000145033
successfully 1 0.000145033
joss 1 0.000145033
black 4 0.000580131
course 2 0.000290065
juxtaposition 1 0.000145033
kidfriendly 1 0.000145033
accident 2 0.000290065
ready 1 0.000145033
mediocrity 1 0.000145033
things 6 0.000870196
stringers 1 0.000145033
dont 1 0.000145033
don 1 0.000145033
porcelain 1 0.000145033
cope 1 0.000145033
mindy 1 0.000145033
kaling 1 0.000145033
shades 1 0.000145033
simple 3 0.000435098
upstate 1 0.000145033
noisy 1 0.000145033
central 1 0.000145033
find 3 0.000435098
household 1 0.000145033
jump 2 0.000290065
spiteful 1 0.000145033
invited 1 0.000145033
typically 2 0.000290065
age 3 0.000435098
roommates 1 0.000145033
dream 1 0.000145033
smuggled 1 0.000145033
11 2 0.000290065
neighborhood 1 0.000145033
usual 2 0.000290065
marks 1 0.000145033
two 6 0.000870196
family 4 0.000580131
moves 1 0.000145033
constant 1 0.000145033
new 8 0.00116026
emmett 1 0.000145033
hide 1 0.000145033
tension 2 0.000290065
living 1 0.000145033
lessthandesirable 1 0.000145033
friends 3 0.000435098
lovely 1 0.000145033
school 1 0.000145033
dictator 1 0.000145033
gravitys 1 0.000145033
complicated 2 0.000290065
wizard 1 0.000145033
oz 1 0.000145033
present 1 0.000145033
yourself 1 0.000145033
twothirds 1 0.000145033
lost 2 0.000290065
dispenses 1 0.000145033
hearing 1 0.000145033
colorcoded 1 0.000145033
regardless 1 0.000145033
orbs 1 0.000145033
imagery 1 0.000145033
mechanical 1 0.000145033
primarily 1 0.000145033
was 18 0.00261059
hiros 1 0.000145033
others 1 0.000145033
vast 2 0.000290065
taste 1 0.000145033
wasteland 1 0.000145033
small 2 0.000290065
unforgettable 1 0.000145033
forgotten 2 0.000290065
friend 1 0.000145033
meet 3 0.000435098
discarded 1 0.000145033
pratt 1 0.000145033
box 1 0.000145033
samuel 1 0.000145033
loyal 2 0.000290065
outfit 2 0.000290065
drinks 1 0.000145033
imaginary 1 0.000145033
hazy 1 0.000145033
kind 3 0.000435098
melt 1 0.000145033
proves 1 0.000145033
your 4 0.000580131
increasingly 4 0.000580131
cloudy 1 0.000145033
resentful 1 0.000145033
fransokyo 1 0.000145033
measured 1 0.000145033
think 2 0.000290065
jacket 1 0.000145033
goes 4 0.000580131
russo 1 0.000145033
dialogue 3 0.000435098
filthy 1 0.000145033
regain 1 0.000145033
classic 2 0.000290065
isnt 4 0.000580131
money 2 0.000290065
provides 1 0.000145033
again 4 0.000580131
science 2 0.000290065
hank 1 0.000145033
thinking 1 0.000145033
feel 2 0.000290065
lest 1 0.000145033
animation 1 0.000145033
intense 2 0.000290065
bigscreen 1 0.000145033
shows 1 0.000145033
remain 1 0.000145033
considering 1 0.000145033
protective 1 0.000145033
outdoes 1 0.000145033
features 3 0.000435098
amazingly 1 0.000145033
scene 4 0.000580131
landscapes 1 0.000145033
ranging 1 0.000145033
studio 3 0.000435098
unlike 1 0.000145033
produced 2 0.000290065
concert 1 0.000145033
night 3 0.000435098
dvd 4 0.000580131
nod 1 0.000145033
challenged 1 0.000145033
memory 1 0.000145033
bank 1 0.000145033
nearly 2 0.000290065
piano 1 0.000145033
maxs 1 0.000145033
dazzling 1 0.000145033
glamour 1 0.000145033
lessons 3 0.000435098
annoying 1 0.000145033
watch 2 0.000290065
jingle 1 0.000145033
outrage 1 0.000145033
chewing 1 0.000145033
gum 1 0.000145033
next 2 0.000290065
popping 1 0.000145033
arena 1 0.000145033
enjoyed 1 0.000145033
places 1 0.000145033
mask 1 0.000145033
northup 7 0.00101523
subconscious 1 0.000145033
abstract 1 0.000145033
reside 1 0.000145033
mention 1 0.000145033
exploitative 1 0.000145033
thought 2 0.000290065
fare 1 0.000145033
viewers 1 0.000145033
rise 1 0.000145033
superheroes 1 0.000145033
younger 1 0.000145033
probably 2 0.000290065
noose 1 0.000145033
fidgety 1 0.000145033
nightcrawler 8 0.00116026
